DistrictID,Autism,Kstudent,Rate,Area_km,LC11,LC21,LC2B,LC31,LC4,LC52,LC71,LC8,LC9,Avecanopy,Prdcan100,Prdcan50,Roadensity,Rd4,Pop,Popm,Popf,Malep,Femalep,Popden,Age19l,Age65m,Whitep,Blackp,Asisanp,Vehicle0,Unemploy,Income_median,Income_sd_median,RLC2b,RLC4,RLC71,Rcanopy,Rroadcan100,Rroadcan50,LC1106,LC2106,LC2B06,LC3106,LC406,LC5206,LC7106,LC806,LC906,RLC2B06,RLC406,RLC7106
1,1,338,2.96,11.3,0.04,8.81,17.41,0,60.02,2.78,10.95,0,0,46.74,26.52,19.28,1.449,4,2852,1452,1400,50.91,49.09,252.39,25.32,12.66,95.72,0.67,2.77,2.46,3.58,65139,6.5139,1.741,6.002,1.095,4.674,2.652,1.928,0.04,8.81,17.29,0,60.57,2.59,10.7,0,0,1.729,6.057,1.07
2,54,5516,9.79,868.6,0.01,3.31,3.57,6.03,0.01,86.55,0.23,0.21,0.07,0.02,0,0,0.176,2,47571,26705,20866,56.14,43.86,54.77,38.56,4.67,62.33,17.81,4.68,5.76,16.71,50395,5.0395,0.357,0.001,0.023,0.002,0,0,0.01,3.14,2.96,6.03,0.02,87.33,0.23,0.21,0.07,0.296,0.002,0.023
3,0,111,0.00,171.6,0.19,3.05,1.21,0.15,37.29,26.32,21.42,10.03,0.33,32.25,10.14,10.39,0.090,1,1260,786,474,62.38,37.62,7.34,17.62,15.79,73.65,1.83,0.4,2.59,6.3,75903,7.5903,0.121,3.729,2.142,3.225,1.014,1.039,0.19,3.05,1.21,0.16,37.3,26.27,21.46,10.02,0.33,0.121,3.73,2.146
4,16,6837,2.34,169,0.17,5.07,9.46,0.04,19.55,21.22,21.27,22.76,0.46,13.93,0.06,0.05,0.298,3,54943,28244,26699,51.41,48.59,325.11,39.59,4.38,68.23,1.37,6.24,7.68,13.83,48597,4.8597,0.946,1.955,2.127,1.393,0.006,0.005,0.17,5.15,9.18,0.04,19.56,21.23,21.28,22.92,0.47,0.918,1.956,2.128
5,0,53,0.00,52.4,0,3.01,1.67,0.89,0,0,30.53,63.7,0.2,0,0,0,0.174,2,210,104,106,49.52,50.48,4.01,38.1,5.24,63.33,21.43,0,16.67,47.56,19375,1.9375,0.167,0,3.053,0,0,0,0,3,1.67,0.89,0,0,31.53,62.71,0.2,0.167,0,3.153
6,5,1247,4.01,248.5,0.44,8,3.7,0,0.39,79.57,7.07,0.03,0.79,0.4,0.59,0.48,0.284,2,16411,8372,8039,51.01,48.99,66.04,28.82,10.46,91.9,1.22,2.59,2.57,6.23,77803,7.7803,0.37,0.039,0.707,0.04,0.059,0.048,0.45,8.03,3.65,0,0.39,79.73,6.93,0.03,0.79,0.365,0.039,0.693
7,37,4075,9.08,71.2,0.21,13.46,30.89,0.81,18.08,34.02,1.32,0,1.2,5.03,1.29,1.28,0.725,3,61569,29853,31716,48.49,51.51,864.73,30.41,7.85,75.01,7.25,8.53,2.88,5.58,83921,8.3921,3.089,1.808,0.132,0.503,0.129,0.128,0.49,13.81,30.09,0.81,17.94,34.05,1.61,0,1.2,3.009,1.794,0.161
8,2,373,5.36,15.4,0.24,4.6,5.41,0.15,0,1.45,79.03,7.53,1.56,0.75,0.32,0.28,0.306,3,2801,1455,1346,51.95,48.05,181.88,40.06,4.36,67.83,1.07,6.1,5.32,16.93,28833,2.8833,0.541,0,7.903,0.075,0.032,0.028,0.24,4.6,5.42,0.15,0,1.45,78.63,7.94,1.56,0.542,0,7.863
9,0,76,0.00,275.7,0.65,1.82,1.07,0,74.47,19.61,2.28,0,0.08,58.35,47.05,39.07,0.248,2,1674,839,835,50.12,49.88,6.07,20.61,16.43,98.86,0,0,2.45,6.11,55694,5.5694,0.107,7.447,0.228,5.835,4.705,3.907,0.65,1.84,1.05,0,79.48,15.92,0.98,0,0.08,0.105,7.948,0.098
10,83,9420,8.81,128.3,0.45,6.44,18.33,0.01,36.64,15.64,22.22,0,0.29,24.92,11.22,9.95,0.994,4,106126,54512,51614,51.37,48.63,827.17,31.18,9.14,47.55,2.52,26.13,6.85,9.11,57749,5.7749,1.833,3.664,2.222,2.492,1.122,0.995,0.45,6.47,18.27,0.45,36.72,15.58,21.78,0,0.29,1.827,3.672,2.178
